Function,Core Position Cluster,Core Position Cluster Definition,Core Position,Core Position Main Objective,Skill,Skill Definition,Functional / Soft Skill,Required Proficiency Level,Proficiency Value,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Beginner,1,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Beginner,1,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Proficient,3,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",PMO Support (including PC),,Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Proficient,3,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Intermediate,2,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Project Manager (incl. RPM),,Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Advanced,4,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"GPT Handbook: Project Lead  rovides leadership to ensure smooth operation of the GPT, including contributing to the strategic planning process, information flow,
and achieving on time or accelerated decision points and milestones. En sures team adheres to team norms and coordinates team building activities",Drug development expertise,Highly knowledgeable & comfortable discussing the rationale of decisions made per functional unit,Functional Skill,Expert,5,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"GPT Handbook: Project Lead  rovides leadership to ensure smooth operation of the GPT, including contributing to the strategic planning process, information flow,
and achieving on time or accelerated decision points and milestones. En sures team adheres to team norms and coordinates team building activities",Project Management skills,"Applies PM methodology & tools to develop & maintain integrated project plan, manage timeline, budget, resources & risk mitigations to ensure operations aspects are on scope/schedule/quality. Efficiently multitasks, maintains & inculcates accountability across multiple projects & pays keen attention to detail.",Functional Skill,Expert,5,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"GPT Handbook: Project Lead  rovides leadership to ensure smooth operation of the GPT, including contributing to the strategic planning process, information flow,
and achieving on time or accelerated decision points and milestones. En sures team adheres to team norms and coordinates team building activities",Organizational knowledge and network,Knows the internal workings of the company & has process knowledge & connections that help with identifying effective solutions,Functional Skill,Expert,5,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"GPT Handbook: Project Lead  rovides leadership to ensure smooth operation of the GPT, including contributing to the strategic planning process, information flow,
and achieving on time or accelerated decision points and milestones. En sures team adheres to team norms and coordinates team building activities",Strategic Thinking,"Excels at agility, entrepreneurship and strategic reasoning. Works with GPH to incorporate optionality into high level strategy & pragmatically translates strategy to a project plan",Soft Skill,Expert,5,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"GPT Handbook: Project Lead  rovides leadership to ensure smooth operation of the GPT, including contributing to the strategic planning process, information flow,
and achieving on time or accelerated decision points and milestones. En sures team adheres to team norms and coordinates team building activities",Matrix leadership skills,"Has high emotional intelligence with ability to influence others without authority. Demonstrates & spreads culture of ownership, trust & excellence to drive strategy execution",Soft Skill,Expert,5,,
GPM,Global Program Management,"EVA Page: Global Program Management enables Global Program Teams (GPTs) and the wider organization to develop new medicines with a sense of urgency, investment optimization and result orientation by leveraging state-of-the-art agile program management that drives strategy optionality and execution and embodies inclusion with a winning team spirit so that we unleash the full potential of drug hunting teams to maximize the pipeline value. ",Program Manager Lead,"GPT Handbook: Project Lead  rovides leadership to ensure smooth operation of the GPT, including contributing to the strategic planning process, information flow,
and achieving on time or accelerated decision points and milestones. En sures team adheres to team norms and coordinates team building activities",Communication,Has effective verbal & written communication. Identifies loose ends & proactively ensures informatio flows cross functionally & across leadership levels while bringing a sense of executive presence to the audience.,Soft Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Governance,Understanding the rules & regulations of authorities and the ownership to decide in accordance with the requirements for our patients & Merck. Ability to formulate requirements into Quality Documents.,Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Auditing,Understanding audit procedures and relevant guidance and related quality framework for the risk assessment.,Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,"Data, Digital & IT",Being up to date with relevant data & digital requirements and novel techniques.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Project Management,"Proficient Project management skills to manage projects in regard to results, time, budget & risks across all organizational levels. ",Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Compliance,"Living a compliance culture which is allowing enough space for informed decisions by adhering to regulations (EFPIA, PhRMA & other associations). ",Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Sustainability,Understanding Sustainability culture and details. Ability to understand regulation and transfer skills to write a chapter.,Functional Skill,Intermediate,2,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Organizational knowledge and network,Knowledge of global organizational set up across Merck Divisions and processes (BPO). Network in different Business & Functional Areas.,Functional Skill,Beginner,1,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Communication & Stakeholder Management,Fluent communications skills across all levels and cultures. Follows up intrinsically on open aspects and sets standards for easy understanding,Soft Skill,Proficient,3,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Analytical & Problem Solving,"Ability to analyse problems and assess issues in regard to quality, ethics, risks and laws & regulations for our patients and Merck.",Soft Skill,Proficient,3,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Manager,,Matrix leadership,Walking the matrix organization and ability to act as the owner independent of the functional belonging.,Soft Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Governance,Understanding the rules & regulations of authorities and the ownership to decide in accordance with the requirements for our patients & Merck. Ability to formulate requirements into Quality Documents.,Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Auditing,Understanding audit procedures and relevant guidance and related quality framework for the risk assessment.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,"Data, Digital & IT",Being up to date with relevant data & digital requirements and novel techniques.,Functional Skill,Advanced,4,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Project Management,"Proficient Project management skills to manage projects in regard to results, time, budget & risks across all organizational levels. ",Functional Skill,Expert,5,,
CMO,Chief Medical Officer Governance & Operations,"EVA page: CMO ensures the compliance with recognized medical and ethical standards in all medical and human subject research activities of Healthcare R&D throughout the entire life cycle of Healthcare products, from first-in-human administration through clinical development and commercialization.?????",Chief Medical Officer Governance & Operations Director,,Compliance,"Living a compliance culture which is allowing enough space for informed decisions by adhering to regulations (EFPIA, PhRMA & other associations). ",Functional Skill,Advanced,4,,
